room_type_n,neighbourhood_group_n,minimum_nights,availability_365,calculated_host_listings_count,price
0.5,0.0,0.004008016032064127,0.016438356164383564,0.0,400
0.0,0.0,0.008016032064128256,0.0,0.0,60
0.5,0.25,0.004008016032064127,0.0,0.0,100
0.5,0.25,0.0,0.0,0.0,250
0.0,0.5,0.002004008016032064,0.0,0.0,53
0.0,0.5,0.004008016032064127,0.26575342465753427,0.006134969325153375,45
0.0,0.25,0.0,0.38082191780821917,0.0,75
0.5,0.0,0.012024048096192383,0.0,0.0,150
0.0,0.0,0.0,0.0,0.003067484662576687,70
0.5,0.25,0.002004008016032064,0.8027397260273973,0.003067484662576687,220
0.0,0.0,0.0,0.473972602739726,0.003067484662576687,60
0.0,0.0,0.0,0.0,0.0,10
0.0,0.0,0.002004008016032064,0.008219178082191782,0.0,60
0.5,0.25,0.004008016032064127,0.2191780821917808,0.0,225
0.0,0.25,0.002004008016032064,0.0,0.0,40
0.5,0.25,0.058116232464929855,0.5287671232876713,0.012269938650306749,180
0.0,0.5,0.0,1.0,0.015337423312883437,95
0.5,0.25,0.0060120240480961915,0.0,0.0,295
0.5,0.5,0.012024048096192383,1.0,0.0,200
0.0,0.25,0.002004008016032064,0.2684931506849315,0.003067484662576687,96
0.5,0.25,0.002004008016032064,0.019178082191780823,0.0,275
0.0,0.0,0.0,0.29315068493150687,0.009202453987730062,65
0.0,0.25,0.002004008016032064,0.0,0.0,100
0.0,0.25,0.0,0.0821917808219178,0.0,85
0.5,0.0,0.002004008016032064,0.8602739726027397,0.0,120
0.0,0.25,0.0060120240480961915,0.0,0.0,85
0.0,0.25,0.028056112224448898,0.0958904109589041,0.003067484662576687,55
0.0,0.0,0.004008016032064127,0.0,0.003067484662576687,35
0.0,0.25,0.0,0.11506849315068493,0.003067484662576687,85
0.5,0.0,0.004008016032064127,0.8465753424657534,0.003067484662576687,260
0.5,0.0,0.004008016032064127,0.03287671232876713,0.0,95
0.5,0.25,0.0060120240480961915,0.07671232876712329,0.0,199
0.5,0.25,0.004008016032064127,0.0,0.0,395
0.0,0.0,0.008016032064128256,0.0,0.0,70
0.0,0.25,0.0,0.024657534246575342,0.003067484662576687,95
0.5,0.25,0.0060120240480961915,0.15342465753424658,0.0,80
0.0,0.0,0.026052104208416832,0.9205479452054794,0.0,90
0.5,0.25,0.058116232464929855,0.8958904109589041,0.09815950920245399,178
0.5,0.0,0.002004008016032064,0.0,0.0,103
0.5,0.0,0.002004008016032064,0.16164383561643836,0.003067484662576687,425
0.5,0.0,0.010020040080160319,0.030136986301369864,0.0,280
0.5,0.25,0.002004008016032064,0.9972602739726028,0.003067484662576687,199
0.0,0.0,0.0,0.33972602739726027,0.003067484662576687,85
0.0,0.0,0.010020040080160319,0.0136986301369863,0.0,44
0.0,0.0,0.004008016032064127,0.6027397260273972,0.0,45
0.0,0.0,0.002004008016032064,0.0,0.0,75
0.5,0.25,0.004008016032064127,0.06301369863013699,0.0,190
0.5,0.25,0.002004008016032064,0.8821917808219178,0.0,199
0.5,0.25,0.002004008016032064,0.9808219178082191,0.0,125
0.5,0.0,0.004008016032064127,0.6767123287671233,0.003067484662576687,172
0.5,0.25,0.0,0.0,0.0,275
0.0,0.0,0.004008016032064127,0.0,0.0,75
0.5,0.0,0.008016032064128256,0.06301369863013699,0.003067484662576687,650
0.5,0.0,0.9999999999999999,0.9068493150684932,0.0,140
0.5,0.0,0.002004008016032064,0.5780821917808219,0.0,103
0.5,0.25,0.002004008016032064,0.8054794520547945,0.003067484662576687,161
0.5,0.0,0.002004008016032064,0.8821917808219178,0.0,89
0.5,0.25,0.018036072144288578,0.0,0.0,429
0.5,0.25,0.004008016032064127,0.0027397260273972603,0.0,120
